comuna,municipio,anio,semana,casos,pob,log_pob,incidencia_base,es_floridablanca,sin52,cos52,precip,temp,humedad,precip_l2,precip_l4,precip_l6,precip_l8,temp_l4,temp_l8,humedad_l4,precip_acum4,precip_acum8,precip_acum12,temp_mean8,humedad_mean8
B1,Bucaramanga,2015,1,1.756,66710,11.108,0.24,0,0.1205,0.9927,0.0,22.0,64.4,0.2,42.5,74.5,68.7,21.4,21.2,,64.0,372.1,701.3,21.3,76.22
B2,Bucaramanga,2015,1,0.549,27515,10.223,0.182,0,0.1205,0.9927,0.0,22.0,64.4,0.2,42.5,74.5,68.7,21.4,21.2,,64.0,372.1,701.3,21.3,76.22
B4,Bucaramanga,2015,1,0.659,36023,10.492,0.167,0,0.1205,0.9927,0.0,22.0,64.4,0.2,42.5,74.5,68.7,21.4,21.2,,64.0,372.1,701.3,21.3,76.22
B3,Bucaramanga,2015,1,5.159,41488,10.633,1.133,0,0.1205,0.9927,0.0,22.0,64.4,0.2,42.5,74.5,68.7,21.4,21.2,,64.0,372.1,701.3,21.3,76.22
B13,Bucaramanga,2015,1,7.793,54093,10.898,1.313,0,0.1205,0.9927,0.0,22.0,64.4,0.2,42.5,74.5,68.7,21.4,21.2,,64.0,372.1,701.3,21.3,76.22
B14,Bucaramanga,2015,1,2.085,18227,9.811,1.042,0,0.1205,0.9927,0.0,22.0,64.4,0.2,42.5,74.5,68.7,21.4,21.2,,64.0,372.1,701.3,21.3,76.22
B12,Bucaramanga,2015,1,4.72,32825,10.399,1.31,0,0.1205,0.9927,0.0,22.0,64.4,0.2,42.5,74.5,68.7,21.4,21.2,,64.0,372.1,701.3,21.3,76.22
B15,Bucaramanga,2015,1,2.634,6396,8.764,3.752,0,0.1205,0.9927,0.0,22.0,64.4,0.2,42.5,74.5,68.7,21.4,21.2,,64.0,372.1,701.3,21.3,76.22
B5,Bucaramanga,2015,1,3.183,34438,10.447,0.842,0,0.1205,0.9927,0.0,22.0,64.4,0.2,42.5,74.5,68.7,21.4,21.2,,64.0,372.1,701.3,21.3,76.22
B6,Bucaramanga,2015,1,5.268,22850,10.037,2.101,0,0.1205,0.9927,0.0,22.0,64.4,0.2,42.5,74.5,68.7,21.4,21.2,,64.0,372.1,701.3,21.3,76.22
B16,Bucaramanga,2015,1,12.841,17641,9.778,6.632,0,0.1205,0.9927,0.0,22.0,64.4,0.2,42.5,74.5,68.7,21.4,21.2,,64.0,372.1,701.3,21.3,76.22
B7,Bucaramanga,2015,1,1.976,25189,10.134,0.715,0,0.1205,0.9927,0.0,22.0,64.4,0.2,42.5,74.5,68.7,21.4,21.2,,64.0,372.1,701.3,21.3,76.22
B17,Bucaramanga,2015,1,0.878,24874,10.122,0.322,0,0.1205,0.9927,0.0,22.0,64.4,0.2,42.5,74.5,68.7,21.4,21.2,,64.0,372.1,701.3,21.3,76.22
B9,Bucaramanga,2015,1,8.232,14183,9.56,5.288,0,0.1205,0.9927,0.0,22.0,64.4,0.2,42.5,74.5,68.7,21.4,21.2,,64.0,372.1,701.3,21.3,76.22
B8,Bucaramanga,2015,1,1.756,16129,9.688,0.992,0,0.1205,0.9927,0.0,22.0,64.4,0.2,42.5,74.5,68.7,21.4,21.2,,64.0,372.1,701.3,21.3,76.22
B10,Bucaramanga,2015,1,9.659,39108,10.574,2.25,0,0.1205,0.9927,0.0,22.0,64.4,0.2,42.5,74.5,68.7,21.4,21.2,,64.0,372.1,701.3,21.3,76.22
B11,Bucaramanga,2015,1,2.854,36068,10.493,0.721,0,0.1205,0.9927,0.0,22.0,64.4,0.2,42.5,74.5,68.7,21.4,21.2,,64.0,372.1,701.3,21.3,76.22
B1,Bucaramanga,2018,43,0.585,66710,11.108,0.24,0,-0.8855,0.4647,107.5,21.4,0.4,31.2,81.2,126.8,53.8,22.1,22.1,18.9,285.3,600.6,693.0,21.84,20.9
B2,Bucaramanga,2018,43,0.183,27515,10.223,0.182,0,-0.8855,0.4647,107.5,21.4,0.4,31.2,81.2,126.8,53.8,22.1,22.1,18.9,285.3,600.6,693.0,21.84,20.9
B4,Bucaramanga,2018,43,0.22,36023,10.492,0.167,0,-0.8855,0.4647,107.5,21.4,0.4,31.2,81.2,126.8,53.8,22.1,22.1,18.9,285.3,600.6,693.0,21.84,20.9
B3,Bucaramanga,2018,43,1.72,41488,10.633,1.133,0,-0.8855,0.4647,107.5,21.4,0.4,31.2,81.2,126.8,53.8,22.1,22.1,18.9,285.3,600.6,693.0,21.84,20.9
B13,Bucaramanga,2018,43,2.598,54093,10.898,1.313,0,-0.8855,0.4647,107.5,21.4,0.4,31.2,81.2,126.8,53.8,22.1,22.1,18.9,285.3,600.6,693.0,21.84,20.9
B14,Bucaramanga,2018,43,0.695,18227,9.811,1.042,0,-0.8855,0.4647,107.5,21.4,0.4,31.2,81.2,126.8,53.8,22.1,22.1,18.9,285.3,600.6,693.0,21.84,20.9
B12,Bucaramanga,2018,43,1.573,32825,10.399,1.31,0,-0.8855,0.4647,107.5,21.4,0.4,31.2,81.2,126.8,53.8,22.1,22.1,18.9,285.3,600.6,693.0,21.84,20.9
B15,Bucaramanga,2018,43,0.878,6396,8.764,3.752,0,-0.8855,0.4647,107.5,21.4,0.4,31.2,81.2,126.8,53.8,22.1,22.1,18.9,285.3,600.6,693.0,21.84,20.9
B5,Bucaramanga,2018,43,1.061,34438,10.447,0.842,0,-0.8855,0.4647,107.5,21.4,0.4,31.2,81.2,126.8,53.8,22.1,22.1,18.9,285.3,600.6,693.0,21.84,20.9
B6,Bucaramanga,2018,43,1.756,22850,10.037,2.101,0,-0.8855,0.4647,107.5,21.4,0.4,31.2,81.2,126.8,53.8,22.1,22.1,18.9,285.3,600.6,693.0,21.84,20.9
B16,Bucaramanga,2018,43,4.28,17641,9.778,6.632,0,-0.8855,0.4647,107.5,21.4,0.4,31.2,81.2,126.8,53.8,22.1,22.1,18.9,285.3,600.6,693.0,21.84,20.9
B7,Bucaramanga,2018,43,0.659,25189,10.134,0.715,0,-0.8855,0.4647,107.5,21.4,0.4,31.2,81.2,126.8,53.8,22.1,22.1,18.9,285.3,600.6,693.0,21.84,20.9
B17,Bucaramanga,2018,43,0.293,24874,10.122,0.322,0,-0.8855,0.4647,107.5,21.4,0.4,31.2,81.2,126.8,53.8,22.1,22.1,18.9,285.3,600.6,693.0,21.84,20.9
B9,Bucaramanga,2018,43,2.744,14183,9.56,5.288,0,-0.8855,0.4647,107.5,21.4,0.4,31.2,81.2,126.8,53.8,22.1,22.1,18.9,285.3,600.6,693.0,21.84,20.9
B8,Bucaramanga,2018,43,0.585,16129,9.688,0.992,0,-0.8855,0.4647,107.5,21.4,0.4,31.2,81.2,126.8,53.8,22.1,22.1,18.9,285.3,600.6,693.0,21.84,20.9
B10,Bucaramanga,2018,43,3.22,39108,10.574,2.25,0,-0.8855,0.4647,107.5,21.4,0.4,31.2,81.2,126.8,53.8,22.1,22.1,18.9,285.3,600.6,693.0,21.84,20.9
B11,Bucaramanga,2018,43,0.951,36068,10.493,0.721,0,-0.8855,0.4647,107.5,21.4,0.4,31.2,81.2,126.8,53.8,22.1,22.1,18.9,285.3,600.6,693.0,21.84,20.9
B1,Bucaramanga,2015,2,1.366,66710,11.108,0.24,0,0.2393,0.9709,0.0,22.0,59.5,0.0,21.3,54.4,110.5,21.4,21.2,85.1,21.5,303.4,627.0,21.4,73.86
B2,Bucaramanga,2015,2,0.427,27515,10.223,0.182,0,0.2393,0.9709,0.0,22.0,59.5,0.0,21.3,54.4,110.5,21.4,21.2,85.1,21.5,303.4,627.0,21.4,73.86
B4,Bucaramanga,2015,2,0.512,36023,10.492,0.167,0,0.2393,0.9709,0.0,22.0,59.5,0.0,21.3,54.4,110.5,21.4,21.2,85.1,21.5,303.4,627.0,21.4,73.86
B3,Bucaramanga,2015,2,4.012,41488,10.633,1.133,0,0.2393,0.9709,0.0,22.0,59.5,0.0,21.3,54.4,110.5,21.4,21.2,85.1,21.5,303.4,627.0,21.4,73.86
B13,Bucaramanga,2015,2,6.061,54093,10.898,1.313,0,0.2393,0.9709,0.0,22.0,59.5,0.0,21.3,54.4,110.5,21.4,21.2,85.1,21.5,303.4,627.0,21.4,73.86
B14,Bucaramanga,2015,2,1.622,18227,9.811,1.042,0,0.2393,0.9709,0.0,22.0,59.5,0.0,21.3,54.4,110.5,21.4,21.2,85.1,21.5,303.4,627.0,21.4,73.86
B12,Bucaramanga,2015,2,3.671,32825,10.399,1.31,0,0.2393,0.9709,0.0,22.0,59.5,0.0,21.3,54.4,110.5,21.4,21.2,85.1,21.5,303.4,627.0,21.4,73.86
B15,Bucaramanga,2015,2,2.049,6396,8.764,3.752,0,0.2393,0.9709,0.0,22.0,59.5,0.0,21.3,54.4,110.5,21.4,21.2,85.1,21.5,303.4,627.0,21.4,73.86
B5,Bucaramanga,2015,2,2.476,34438,10.447,0.842,0,0.2393,0.9709,0.0,22.0,59.5,0.0,21.3,54.4,110.5,21.4,21.2,85.1,21.5,303.4,627.0,21.4,73.86
B6,Bucaramanga,2015,2,4.098,22850,10.037,2.101,0,0.2393,0.9709,0.0,22.0,59.5,0.0,21.3,54.4,110.5,21.4,21.2,85.1,21.5,303.4,627.0,21.4,73.86
B16,Bucaramanga,2015,2,9.988,17641,9.778,6.632,0,0.2393,0.9709,0.0,22.0,59.5,0.0,21.3,54.4,110.5,21.4,21.2,85.1,21.5,303.4,627.0,21.4,73.86
B7,Bucaramanga,2015,2,1.537,25189,10.134,0.715,0,0.2393,0.9709,0.0,22.0,59.5,0.0,21.3,54.4,110.5,21.4,21.2,85.1,21.5,303.4,627.0,21.4,73.86
B17,Bucaramanga,2015,2,0.683,24874,10.122,0.322,0,0.2393,0.9709,0.0,22.0,59.5,0.0,21.3,54.4,110.5,21.4,21.2,85.1,21.5,303.4,627.0,21.4,73.86
B9,Bucaramanga,2015,2,6.402,14183,9.56,5.288,0,0.2393,0.9709,0.0,22.0,59.5,0.0,21.3,54.4,110.5,21.4,21.2,85.1,21.5,303.4,627.0,21.4,73.86
B8,Bucaramanga,2015,2,1.366,16129,9.688,0.992,0,0.2393,0.9709,0.0,22.0,59.5,0.0,21.3,54.4,110.5,21.4,21.2,85.1,21.5,303.4,627.0,21.4,73.86
B10,Bucaramanga,2015,2,7.512,39108,10.574,2.25,0,0.2393,0.9709,0.0,22.0,59.5,0.0,21.3,54.4,110.5,21.4,21.2,85.1,21.5,303.4,627.0,21.4,73.86
B11,Bucaramanga,2015,2,2.22,36068,10.493,0.721,0,0.2393,0.9709,0.0,22.0,59.5,0.0,21.3,54.4,110.5,21.4,21.2,85.1,21.5,303.4,627.0,21.4,73.86
B1,Bucaramanga,2015,3,1.22,66710,11.108,0.24,0,0.3546,0.935,42.1,22.0,72.7,0.0,0.2,42.5,74.5,21.4,21.2,79.7,0.2,192.9,510.3,21.5,71.47
B2,Bucaramanga,2015,3,0.381,27515,10.223,0.182,0,0.3546,0.935,42.1,22.0,72.7,0.0,0.2,42.5,74.5,21.4,21.2,79.7,0.2,192.9,510.3,21.5,71.47
B4,Bucaramanga,2015,3,0.457,36023,10.492,0.167,0,0.3546,0.935,42.1,22.0,72.7,0.0,0.2,42.5,74.5,21.4,21.2,79.7,0.2,192.9,510.3,21.5,71.47
B3,Bucaramanga,2015,3,3.582,41488,10.633,1.133,0,0.3546,0.935,42.1,22.0,72.7,0.0,0.2,42.5,74.5,21.4,21.2,79.7,0.2,192.9,510.3,21.5,71.47
B13,Bucaramanga,2015,3,5.412,54093,10.898,1.313,0,0.3546,0.935,42.1,22.0,72.7,0.0,0.2,42.5,74.5,21.4,21.2,79.7,0.2,192.9,510.3,21.5,71.47
B14,Bucaramanga,2015,3,1.448,18227,9.811,1.042,0,0.3546,0.935,42.1,22.0,72.7,0.0,0.2,42.5,74.5,21.4,21.2,79.7,0.2,192.9,510.3,21.5,71.47
B12,Bucaramanga,2015,3,3.277,32825,10.399,1.31,0,0.3546,0.935,42.1,22.0,72.7,0.0,0.2,42.5,74.5,21.4,21.2,79.7,0.2,192.9,510.3,21.5,71.47
B15,Bucaramanga,2015,3,1.829,6396,8.764,3.752,0,0.3546,0.935,42.1,22.0,72.7,0.0,0.2,42.5,74.5,21.4,21.2,79.7,0.2,192.9,510.3,21.5,71.47
B5,Bucaramanga,2015,3,2.21,34438,10.447,0.842,0,0.3546,0.935,42.1,22.0,72.7,0.0,0.2,42.5,74.5,21.4,21.2,79.7,0.2,192.9,510.3,21.5,71.47
B6,Bucaramanga,2015,3,3.659,22850,10.037,2.101,0,0.3546,0.935,42.1,22.0,72.7,0.0,0.2,42.5,74.5,21.4,21.2,79.7,0.2,192.9,510.3,21.5,71.47
B16,Bucaramanga,2015,3,8.918,17641,9.778,6.632,0,0.3546,0.935,42.1,22.0,72.7,0.0,0.2,42.5,74.5,21.4,21.2,79.7,0.2,192.9,510.3,21.5,71.47
B7,Bucaramanga,2015,3,1.372,25189,10.134,0.715,0,0.3546,0.935,42.1,22.0,72.7,0.0,0.2,42.5,74.5,21.4,21.2,79.7,0.2,192.9,510.3,21.5,71.47
B17,Bucaramanga,2015,3,0.61,24874,10.122,0.322,0,0.3546,0.935,42.1,22.0,72.7,0.0,0.2,42.5,74.5,21.4,21.2,79.7,0.2,192.9,510.3,21.5,71.47
B9,Bucaramanga,2015,3,5.716,14183,9.56,5.288,0,0.3546,0.935,42.1,22.0,72.7,0.0,0.2,42.5,74.5,21.4,21.2,79.7,0.2,192.9,510.3,21.5,71.47
B8,Bucaramanga,2015,3,1.22,16129,9.688,0.992,0,0.3546,0.935,42.1,22.0,72.7,0.0,0.2,42.5,74.5,21.4,21.2,79.7,0.2,192.9,510.3,21.5,71.47
